,fight_payout,choice_fstar,net_odds,choice_ev,choice_juice,choice_decimal_odds,parlay_net,parlay_net_odds,event_payout_per_fight,bankroll_postevent,sigma_portfolio_scaled,beta_post,event_net_odds,portfolio_fscaled,portfolio_sigma,mu_portfolio,sharpe_portfolio,choice_bet_sharpe,choice_bet_sigma,k,date,fighter_red,fighter_blue,choice_proba,red_proba,blue_proba,pred_winner,winner,choice_idx,open_red,open_blue,kelly_edge,juice_open_red,juice_open_blue,juice_close1_red,juice_close1_blue,juice_close2_red,juice_close2_blue,close1_red,close1_blue,close2_red,close2_blue,red_accuracy,blue_accuracy,red_total,blue_total,red_correct,blue_correct,red_incorrect,blue_incorrect,choice_accuracy,choice_correct,choice_incorrect
0,194.16507395867146,0.031066411833387434,1.25,0.16534383774818173,0.0228214606599026,2.25,464.98884986475315,2.375,194.16507395867146,5659.1539238234245,0.02908377700562676,1,1.25,0.16158479094546657,0.02908377700562676,0.004315790550102719,0.14839168067021538,0.14843582532289448,0.179990574368035,1.0,2023-04-29,cody durden,charles johnson,0.5179305945547474,0.5179305945547474,0.4820694054452525,1,1.0,1,125.0,-145.0,0.16158479094546657,0.0194213773997447,0.0168598017385772,0.0449283699489844,0.0391052434963937,0.005095143477187,0.0045666922716053,110.0,-155.0,125.0,-130.0,0.0,50.0,2,4,0,2,2,2,0.0,0,2
1,0.0,0.008090543944697041,0.0,-0.01952889620124454,0.0228214606599026,1.5,464.98884986475315,2.375,194.16507395867146,5659.1539238234245,0.02908377700562676,1,1.25,0.008090543944697041,0.02908377700562676,0.004315790550102719,0.14839168067021538,-0.02730679830937073,0.005786082685987256,1.0,2023-04-29,rodolfo vieira,cody brundage,0.6536474025325036,0.6536474025325036,0.3463525974674963,1,1.0,1,-200.0,170.0,0.008090543944697041,0.0158443011302963,0.0211927359067407,0.0248827236883212,0.0366252128196153,0.0120174704327312,0.0173439193397179,-250.0,188.0,-235.0,205.0,75.0,100.0,4,2,3,2,1,0,75.0,3,1
2,0.0,0.0,0.0,-0.08396760785130064,0.0228214606599026,1.7142857142857144,464.98884986475315,2.375,194.16507395867146,5659.1539238234245,0.02908377700562676,1,1.25,0.0,0.02908377700562676,0.004315790550102719,0.14839168067021538,0.0,0.0,1.0,2023-04-29,song yadong,ricky simon,0.5343522287534079,0.465647771246592,0.5343522287534079,0,1.0,0,115.0,-140.0,0.0,0.0256281517431981,0.0228214606599026,0.0350969798358282,0.0312574307808775,0.0131814660812453,0.011737069475588,110.0,-144.0,122.0,-135.0,60.0,37.5,5,8,3,3,2,5,37.5,3,5
3,0.0,0.0,0.0,-0.02194266393538491,0.0147188271240251,1.3636363636363638,1364.52573728049,2.999999999999999,630.9233031587927,7654.602964262707,0.03634360570210024,1,3.216666666666666,0.0,0.2167280584089828,0.10067468017666371,0.4645207497161384,0.0,0.0,0.16769220362560078,2023-05-06,marina rodriguez,virna jandiroba,0.7172420464473843,0.7172420464473843,0.2827579535526157,1,0.0,1,-275.0,235.0,0.0,0.0124968059878638,0.0193439900320366,0.0559240901305073,0.0587915635728345,-0.0057168347376098,-0.0058975671206943,-138.0,-115.0,-105.0,110.0,42.857142857142854,75.0,7,4,3,3,4,1,42.857142857142854,3,4
4,210.9299224215935,0.03241073247234525,1.15,0.0975263099993674,0.0147188271240251,2.15,1364.52573728049,2.999999999999999,630.9233031587927,7654.602964262707,0.03634360570210024,1,3.216666666666666,0.019974761062335283,0.2167280584089828,0.10067468017666371,0.4645207497161384,0.09105904087142395,0.12757554791857725,0.16769220362560078,2023-05-06,kennedy nzechukwu,devin clark,0.5104773534880779,0.5104773534880779,0.4895226465119221,1,1.0,1,115.0,-135.0,0.11911562154035545,0.0208335315063746,0.0187508326697758,0.0266800730425597,0.0342609700413404,0.0043666852435162,0.0054910812682426,-188.0,145.0,-170.0,163.0,100.0,50.0,5,12,5,6,0,6,100.0,5,0
5,0.0,0.0,0.0,-0.10051508280064944,0.0147188271240251,1.2857142857142856,1364.52573728049,2.999999999999999,630.9233031587927,7654.602964262707,0.03634360570210024,1,3.216666666666666,0.0,0.2167280584089828,0.10067468017666371,0.4645207497161384,0.0,0.0,0.16769220362560078,2023-05-06,drew dober,matt frevola,0.6995993800439394,0.6995993800439394,0.3004006199560606,1,0.0,1,-350.0,285.0,0.0,0.0137757898776073,0.0237422476404303,0.0316294610237879,0.0462926168982899,0.0053764489545775,0.0074440638659352,-250.0,175.0,-212.0,200.0,46.15384615384615,20.0,13,5,6,1,7,4,46.15384615384615,6,7
6,222.91583831868763,0.028135937092781345,1.4,0.2640079484270167,0.0147188271240251,2.4,1364.52573728049,2.999999999999999,630.9233031587927,7654.602964262707,0.03634360570210024,1,3.216666666666666,0.03894338375553949,0.2167280584089828,0.10067468017666371,0.4645207497161384,0.22499593213889058,0.27249789294824317,0.16769220362560078,2023-05-06,belal muhammad,gilbert burns,0.526669978511257,0.526669978511257,0.473330021488743,1,1.0,1,140.0,-180.0,0.23223133165145066,0.0331674969321992,0.0263563125916101,0.03460912100287,0.029205987655288,0.013811657209024,0.0117202576845929,123.0,-160.0,135.0,-150.0,66.66666666666666,56.25,15,16,10,9,5,7,66.66666666666666,10,5
7,197.07754241851157,0.05223683921783911,0.6666666666666663,0.32694740449425297,0.0147188271240251,1.6666666666666663,1364.52573728049,2.999999999999999,630.9233031587927,7654.602964262707,0.03634360570210024,1,3.216666666666666,0.08552985683116719,0.2167280584089828,0.10067468017666371,0.4645207497161384,0.41142769937107165,0.4053117928794006,0.16769220362560078,2023-05-06,aljamain sterling,henry cejudo,0.796168442696552,0.796168442696552,0.203831557303448,1,1.0,1,-150.0,130.0,0.5100407471663146,0.0160173649636899,0.0187652437319623,0.0609381398965298,0.0589844906643987,-0.0176921183454624,-0.0171916025847701,-120.0,-135.0,115.0,100.0,76.47058823529412,75.0,17,12,13,9,4,3,76.47058823529412,13,4
8,0.0,0.0,0.0,-0.030040187765187354,0.0147188271240251,1.5405405405405406,1364.52573728049,2.999999999999999,630.9233031587927,7654.602964262707,0.03634360570210024,1,3.216666666666666,0.0,0.2167280584089828,0.10067468017666371,0.4645207497161384,0.0,0.0,0.16769220362560078,2023-05-06,kron gracie,charles jourdain,0.6296230360120714,0.3703769639879286,0.6296230360120714,0,0.0,0,160.0,-185.0,0.0,0.0190193645089032,0.0147188271240251,0.0424005128111958,0.0334810524320714,0.0060516039053085,0.0050173398012063,135.0,-186.0,148.0,-155.0,50.0,50.0,2,8,1,4,1,4,50.0,4,4
9,158.2698035836393,0.06409690919306091,0.3225806451612905,0.03547431680975488,0.0145071671607929,1.3225806451612905,-791.3027857409659,-1.0,595.6613531072377,7458.961531628979,0.03634360570210023,1,1.5211301895364886,0.026811326807589634,0.2095275768434049,0.10454910159193327,0.49897537673559017,0.06141518504933589,0.08928320263392141,0.173454999335302,2023-05-13,jairzinho rozenstruik,jailton almeida,0.7829196053927414,0.2170803946072585,0.7829196053927414,0,0.0,0,260.0,-310.0,0.1545722343566544,0.0210078875174705,0.012867451235917,0.0430723840747737,0.0202357153423898,0.0222655105052422,0.011067822828091,360.0,-549.0,400.0,-500.0,81.81818181818183,100.0,11,3,9,3,2,0,100.0,3,0
