,fight_payout,choice_fstar,net_odds,choice_ev,choice_juice,choice_decimal_odds,parlay_net,parlay_net_odds,bankroll_pct_change,bankroll_postevent,vegas_acc_choice,event_payout_money_line,event_ml_net_odds,kelly_edge,choice_bet_sharpe,choice_bet_sigma,choice_idx,choice_edge,avg_choice_edge,date,fighter_red,fighter_blue,pred_winner,winner,red_proba,blue_proba,choice_proba,open_red,open_blue,real_odds_blue,real_odds_red,beta_post,sigma_portfolio_scaled,portfolio_fscaled,portfolio_sigma,mu_portfolio,sharpe_portfolio,k,juice_open_red,juice_open_blue,juice_close1_red,juice_close1_blue,juice_close2_red,juice_close2_blue,close1_red,close1_blue,close2_red,close2_blue
0,0.0,0.0,0.0,-0.05491788241520246,0.0193403204872646,1.5,-19.058085090713675,-1.0,-0.31029640290628946,344.85179854685526,0.75,-136.09011636243105,-2.4444444444444446,0.0,"[0, 0, np.float64(-0.004991260288349067), np.float64(0.1538926595906461), 0, np.float64(0.1250371250629479), np.float64(0.18766735830973663), np.float64(0.07597003648474267), 0, 0]","[0.         0.         0.02477012 0.16173653 0.         0.12040863
 0.18517446 0.09297891 0.         0.        ]",0,-0.029138310002805534,0.06673085092880075,2024-05-04,joaquim silva,drakkar klose,0,0.0,0.3699452549434682,0.6300547450565317,0.6300547450565317,120.0,-142.0,1.5,2.85,1,0.05770110378276191,0.0,0.05770110378276191,0.01610004316887777,0.27902487324146524,1.0,0.0219819935623222,0.0193403204872646,0.0528372761484838,0.037833208222788,0.0100702480417933,0.0074736116073294,154.0,-230.0,185.0,-200.0
1,0.0,0.0,0.0,-0.06840633301076932,0.0191618095781445,1.4081632653061225,-19.058085090713675,-1.0,-0.31029640290628946,344.85179854685526,0.75,-136.09011636243105,-2.4444444444444446,0.0,,,0,-0.04136729231310232,0.06673085092880075,2024-05-04,elves brener,myktybek orolbai,0,0.0,0.3384334828627202,0.6615665171372798,0.6615665171372798,142.0,-170.0,1.4081632653061225,3.25,1,0.05770110378276191,0.0,0.05770110378276191,0.01610004316887777,0.27902487324146524,1.0,0.0236909605473527,0.0191618095781445,0.0384617633833727,0.0248568245253791,0.0106261171426896,0.0072111180858498,205.0,-278.0,225.0,-245.0
2,0.0,0.05640148779043994,0.0,-0.0021920360215078316,0.0137953429848293,1.1821493624772312,-19.058085090713675,-1.0,-0.31029640290628946,344.85179854685526,0.75,-136.09011636243105,-2.4444444444444446,0.05640148779043994,,,1,0.00932081393032691,0.06673085092880075,2024-05-04,ismael bonfim,vinc pichel,1,1.0,0.8440625149833471,0.1559374850166529,0.8440625149833471,-500.0,380.0,5.3,1.1821493624772312,1,0.05770110378276191,0.05640148779043994,0.05770110378276191,0.01610004316887777,0.27902487324146524,1.0,0.0137953429848293,0.0278713236818374,0.0177969857358167,0.0393458714070402,0.0111750940163172,0.0234209463360391,-600.0,400.0,-549.0,430.0
3,-35.08780944212073,0.07017561888424145,-1.0,0.167945976625685,0.0215932116349099,2.2,-19.058085090713675,-1.0,-0.31029640290628946,344.85179854685526,0.75,-136.09011636243105,-2.4444444444444446,0.1482028022427703,,,0,0.0816206330529054,0.06673085092880075,2024-05-04,alessandro costa,kevin borjas,0,1.0,0.4691154651701432,0.5308845348298568,0.5308845348298568,-130.0,110.0,2.2,1.8,1,0.05770110378276191,0.1482028022427703,0.05770110378276191,0.01610004316887777,0.27902487324146524,1.0,0.0198146558599141,0.0215932116349099,0.0346130033343434,0.0382541153783375,0.0048194573325072,0.0052815527685029,-141.0,105.0,-125.0,120.0
4,0.0,0.0,0.0,-0.01850414273755377,0.0179466280570474,1.2061855670103092,-19.058085090713675,-1.0,-0.31029640290628946,344.85179854685526,0.75,-136.09011636243105,-2.4444444444444446,0.0,,,1,-0.01433242239168464,0.06673085092880075,2024-05-04,michel pereira,ihor potieria,1,1.0,0.8137187876449341,0.1862812123550659,0.8137187876449341,-420.0,310.0,5.75,1.2061855670103092,1,0.05770110378276191,0.0,0.05770110378276191,0.01610004316887777,0.27902487324146524,1.0,0.0179466280570474,0.0336481186596504,0.0266677709145538,0.062221117974335,0.0010086190232103,0.0019642535148795,-650.0,350.0,-485.0,475.0
5,-80.16057701519308,0.16032115403038616,-1.0,0.0628369731417544,0.0159258302766661,1.2564102564102564,-19.058085090713675,-1.0,-0.31029640290628946,344.85179854685526,0.75,-136.09011636243105,-2.4444444444444446,0.23959698874704433,,,0,0.048545778595318057,0.06673085092880075,2024-05-04,anthony smith,vitor petrino,0,1.0,0.1540685315810526,0.8459314684189474,0.8459314684189474,260.0,-325.0,1.2564102564102564,5.0,1,0.05770110378276191,0.23959698874704433,0.05770110378276191,0.01610004316887777,0.27902487324146524,1.0,0.0265578298540526,0.0159258302766661,0.0614630875901021,0.0285931975881342,-0.0026143101763705,-0.0014673224766905,310.0,-550.0,400.0,-390.0
6,-49.38605253814811,0.09877210507629622,-1.0,0.15220863144928753,0.0277298173240821,1.6666666666666663,-19.058085090713675,-1.0,-0.31029640290628946,344.85179854685526,0.75,-136.09011636243105,-2.4444444444444446,0.2283129471741023,,,0,0.09132517886966107,0.06673085092880075,2024-05-04,jose aldo,jonathan martinez,0,1.0,0.3086748211304273,0.6913251788695727,0.6913251788695727,-107.0,-117.0,1.6666666666666663,2.5,1,0.05770110378276191,0.2283129471741023,0.05770110378276191,0.01610004316887777,0.27902487324146524,1.0,0.0283489021487466,0.0277298173240821,0.0536841397518541,0.0437184576507431,-8.8484775062625e-14,8.8484775062625e-14,120.0,-180.0,150.0,-150.0
7,28.544322633030887,0.10275956147891119,0.5555555555555556,0.05690367867457502,0.0169990228350114,1.5555555555555556,-19.058085090713675,-1.0,-0.31029640290628946,344.85179854685526,0.75,-136.09011636243105,-2.4444444444444446,0.12413276231442018,,,1,0.04543181319731848,0.06673085092880075,2024-05-04,alexandre pantoja,steve erceg,1,1.0,0.6794380791479411,0.3205619208520589,0.6794380791479411,-250.0,205.0,2.65,1.5555555555555556,1,0.05770110378276191,0.12413276231442018,0.05770110378276191,0.01610004316887777,0.27902487324146524,1.0,0.0169990228350114,0.0251555439097192,0.0287452808578468,0.0379213858088197,0.0088508769065202,0.0113647565166603,-200.0,150.0,-180.0,165.0
8,0.0,0.0,0.0,-0.12972025059396164,0.0232290461519004,1.5,-19.058085090713675,-1.0,-0.31029640290628946,344.85179854685526,0.75,-136.09011636243105,-2.4444444444444446,0.0,,,0,-0.07900655545531166,0.06673085092880075,2024-05-04,jack shore,joanderson brito,0,0.0,0.4198135003959743,0.5801864996040256,0.5801864996040256,-120.0,100.0,1.5,2.85,1,0.05770110378276191,0.0,0.05770110378276191,0.01610004316887777,0.27902487324146524,1.0,0.0222254993026449,0.0232290461519004,0.042226716265892,0.0303091129239294,0.0100702480417933,0.0074736116073294,163.0,-225.0,185.0,-200.0
9,0.0,0.0,0.0,-0.07588684617858729,0.0187287731158957,1.196078431372549,-19.058085090713675,-1.0,-0.31029640290628946,344.85179854685526,0.75,-136.09011636243105,-2.4444444444444446,0.0,,,0,-0.06011690491562771,0.06673085092880075,2024-05-04,paul craig,caio borralho,0,0.0,0.2273808058214418,0.7726191941785582,0.7726191941785582,154.0,-185.0,1.196078431372549,5.75,1,0.05770110378276191,0.0,0.05770110378276191,0.01610004316887777,0.27902487324146524,1.0,0.0240948213032229,0.0187287731158957,0.0493917099965039,0.021356589323224,0.0066491425724469,0.0033294746763058,390.0,-650.0,475.0,-510.0
10,27.932529509001192,0.07363513472033217,1.1,0.17474290566269568,0.0246517396386398,2.1,34.66483717074817,2.6000000000000005,0.4184958497265702,489.1708450094575,0.8333333333333334,109.65420929185407,3.9516286580802706,0.16788728740021183,"[np.float64(0.16727984384810024), 0, np.float64(0.16818667664073172), 0, 0, np.float64(0.14309963226857111), 0, np.float64(0.02435069630826013), np.float64(0.09976669635355274), 0]","[0.17537745 0.         0.18125099 0.         0.         0.14896057
 0.         0.04953161 0.08670802 0.        ]",1,0.08889529676858732,0.053026167866811136,2024-05-11,chase hooper,viacheslav borshchev,1,1.0,0.5594013836489027,0.4405986163510973,0.5594013836489027,164.0,-198.0,1.869565217391304,2.1,1,0.05587356479153786,0.16788728740021183,0.05587356479153786,0.016173185495292938,0.28946041935277406,1.0,0.0246517396386398,0.0185656693505812,0.0454887562750946,0.0435381588387769,0.0056843893101607,0.0053898078105479,-110.0,-130.0,110.0,-115.0
