date,return_fraction_open,multiplier_open,profitable_event_open,profits_open,replenished_open,replenishment_amount_open,replenishment_count_open,bankroll_open,return_fraction_close1,multiplier_close1,profitable_event_close1,profits_close1,replenished_close1,replenishment_amount_close1,replenishment_count_close1,bankroll_close1,return_fraction_close2,multiplier_close2,profitable_event_close2,profits_close2,replenished_close2,replenishment_amount_close2,replenishment_count_close2,bankroll_close2
2026-02-28,0.5873082130116394,1.5873082130116394,True,293.6541065058197,False,0.0,0,793.6541065058198,0.02587111425227963,1.0258711142522796,True,12.935557126139807,False,0.0,0,512.9355571261398,-0.26538222142866036,0.7346177785713397,False,-132.69111071433016,False,0.0,0,367.3088892856698
2026-03-07,0.7957471278562702,1.7957471278562702,True,631.5479757633404,False,0.0,0,1425.2020822691602,0.2932133829866779,1.2932133829866779,True,150.3995699591118,False,0.0,0,663.3351270852515,0.4657624242787576,1.4657624242787577,True,171.07867873283138,False,0.0,0,538.3875680185012
2026-03-14,0.7560593889455673,1.7560593889455673,True,1077.5374154443714,False,0.0,0,2502.739497713532,-0.03221176263480699,0.967788237365193,False,-21.367193660999632,False,0.0,0,641.9679334242519,0.05685068439265992,1.05685068439266,True,30.60770171035155,False,0.0,0,568.9952697288527
2026-03-21,0.5888397848434352,1.5888397848434352,True,1473.7125873528032,False,0.0,0,3976.452085066335,0.7411038126326741,1.741103812632674,True,475.76488304863176,False,0.0,0,1117.7328164728838,0.9766623424188534,1.9766623424188534,True,555.7162529586286,False,0.0,0,1124.7115226874812
2026-03-28,-0.09304828379332822,0.9069517162066718,False,-370.0020421018239,False,0.0,0,3606.450042964511,0.16040748447171246,1.1604074844717125,True,179.29270940189758,False,0.0,0,1297.0255258747814,0.2541863367049689,1.2541863367049688,True,285.88630180179825,False,0.0,0,1410.5978244892794
2026-04-04,0.43821811593333293,1.438218115933333,True,1580.4117430355955,False,0.0,0,5186.861786000107,-0.4451652791740701,0.5548347208259299,False,-577.3907303219421,False,0.0,0,719.6347955528393,-0.29160625341318525,0.7083937465868148,False,-411.33914667210865,False,0.0,0,999.2586778171708
2026-04-11,-0.11882420720065354,0.8811757927993464,False,-616.3247395808287,False,0.0,0,4570.537046419278,-0.3966764222135147,0.6033235777864854,False,-285.4621560002543,False,0.0,0,434.17263955258494,-0.34093901595931053,0.6590609840406895,False,-340.6862703037879,False,0.0,0,658.5724075133828
2026-04-18,0.4177983321812859,1.417798332181286,True,1909.562755166755,False,0.0,0,6480.099801586033,0.1182536893693127,1.1182536893693127,True,51.34251645030594,False,0.0,0,485.5151560028909,0.05798507171856411,1.0579850717185642,True,38.18736828153096,False,0.0,0,696.7597757949138
2026-04-25,-0.5316061268494103,0.46839387315058967,False,-3444.8607571187836,False,0.0,0,3035.2390444672496,-0.49271261347359463,0.5072873865264054,False,-239.21944139522438,False,0.0,0,246.2957146076665,-0.5140561350910503,0.4859438649089497,False,-358.17363743204015,False,0.0,0,338.58613836287367
2026-05-02,0.5540380973491656,1.5540380973491656,True,1681.6380651965346,False,0.0,0,4716.877109663785,0.4330600066450244,1.4330600066450243,True,106.66082380463706,False,0.0,0,352.95653841230353,0.8685444025729175,1.8685444025729177,True,294.0770952638533,False,0.0,0,632.663233626727
2026-05-09,0.1471126080393263,1.1471126080393264,True,693.912093403639,False,0.0,0,5410.789203067424,-0.017294811095078855,0.9827051889049212,False,-6.1043166566137135,False,0.0,0,346.8522217556898,0.18490412390173483,1.1849041239017348,True,116.98204093858854,False,0.0,0,749.6452745653155
2026-05-16,-0.36737328209298026,0.6326267179070197,False,-1987.7793882441406,False,0.0,0,3423.0098148232833,-0.35078479023561565,0.6492152097643844,False,-121.67048385132688,False,0.0,0,225.18173790436293,-0.2448027694917346,0.7551972305082654,False,-183.51523934998104,False,0.0,0,566.1300352153345
2026-05-30,-0.1284270306162581,0.871572969383742,False,-439.6069862880616,False,0.0,0,2983.4028285352215,-0.157276578324151,0.842723421675849,False,-35.415813238683974,False,0.0,0,189.76592466567897,-0.12171060168040929,0.8782893983195907,False,-68.90402721540964,False,0.0,0,497.22600799992483
2026-06-06,0.4562199902945002,1.4562199902945,True,1361.088009478923,False,0.0,0,4344.490838014144,0.49174869186272996,1.49174869186273,True,93.31714521446901,False,0.0,0,283.08306988014795,0.6660192965983638,1.6660192965983638,True,331.16211609852235,False,0.0,0,828.3881240984472
2026-06-14,-0.43458182947898083,0.5654181705210192,False,-1888.0367765388573,False,0.0,0,2456.454061475287,-0.2960351365398897,0.7039648634601103,False,-83.80253524410072,False,0.0,0,199.2805346360472,-0.1569258665537148,0.8430741334462852,False,-129.99552421695503,False,0.0,0,698.3925998814922
2026-06-20,0.2778561337100469,1.277856133710047,True,682.5408281578651,False,0.0,0,3138.994889633152,-0.21344290318482007,0.7865570968151799,False,-42.53501586094101,False,0.0,0,156.7455187751062,-0.20142703715300972,0.7985729628469903,False,-140.67515216371635,False,0.0,0,557.7174477177758
2026-06-27,0.41236639341936554,1.4123663934193655,True,1294.4160015998423,False,0.0,0,4433.410891232994,0.740227216432343,1.7402272164323431,True,116.02729905114045,False,0.0,0,272.77281782624664,0.9072645814270277,1.9072645814270277,True,505.9972867582181,False,0.0,0,1063.714734475994
2026-07-11,-0.575965314623735,0.424034685376265,False,-2553.4908988253046,False,0.0,0,1879.9199924076893,-0.8119788707662274,0.18802112923377257,False,-221.4857645942776,True,500.0,1,51.287053231969026,-0.8100682483991309,0.18993175160086906,False,-861.6815317533151,False,0.0,0,202.03320272267888
2026-07-18,0.766830954520904,1.766830954520904,True,1441.580842200919,False,0.0,0,3321.5008346086083,0.563267114935105,1.563267114935105,True,281.63355746755246,False,0.0,1,781.6335574675525,0.7935684257171628,1.793568425717163,True,160.3271706272327,False,0.0,0,362.3603733499116
2026-07-25,-0.1093952571944694,0.8906047428055306,False,-363.3564380736535,False,0.0,0,2958.144396534955,-0.21546709556065932,0.7845329044393407,False,-168.41631242027924,False,0.0,1,613.2172450472732,-0.18723336609726793,0.8127666339027321,False,-67.84595244256668,False,0.0,0,294.5144209073449
2026-08-01,-0.17460856951186787,0.8253914304881321,False,-516.5173614885161,False,0.0,0,2441.627035046439,0.04398046825491031,1.0439804682549103,True,26.969581579165155,False,0.0,1,640.1868266264383,0.15545588618677506,1.155455886186775,True,45.78400029693615,False,0.0,0,340.29842120428106
2026-08-08,0.12497145195864634,1.1249714519586465,True,305.1336757112384,False,0.0,0,2746.7607107576773,-0.30318346478427655,0.6968165352157234,False,-194.09406020585456,False,0.0,1,446.09276642058376,-0.2888372186209797,0.7111627813790202,False,-98.29084948175519,False,0.0,0,242.00757172252588
2026-08-15,0.32334323376156743,1.3233432337615674,True,888.1464905856086,False,0.0,0,3634.907201343286,0.8020657000025259,1.802065700002526,True,357.7957069651888,False,0.0,1,803.8884733857726,1.019596864296507,2.019596864296507,True,246.75016126429946,False,0.0,0,488.7577329868253
2026-08-22,-0.21411556807009915,0.7858844319299009,False,-778.2902202977119,False,0.0,0,2856.616981045574,-0.42717350486170325,0.5728264951382968,False,-343.39985669412454,False,0.0,1,460.4886166916481,-0.38150085482883644,0.6184991451711636,False,-186.46149293867805,False,0.0,0,302.2962400481473
2026-08-29,0.6507964954340879,1.650796495434088,True,1859.0763200619638,False,0.0,0,4715.693301107538,0.44566329055153187,1.4456632905515319,True,205.22287217632294,False,0.0,1,665.711488867971,0.0008017760919193095,1.0008017760919192,True,0.24237389794767983,False,0.0,0,302.538613946095
2026-09-05,0.26414777899036945,1.2641477789903695,True,1245.6399118873196,False,0.0,0,5961.333212994858,0.2562946300191974,1.2562946300191973,True,170.61827973894557,False,0.0,1,836.3297686069166,-0.1068896078351172,0.8931103921648829,False,-32.338233799677994,False,0.0,0,270.200380146417
